iter	Logloss
0	0.6757191569
1	0.6579950765
2	0.6421606445
3	0.6262386068
4	0.6120048014
5	0.5978725993
6	0.5848859049
7	0.5719266764
8	0.5597821045
9	0.5494750163
10	0.5386961263
11	0.528918457
12	0.5212278646
13	0.5138136393
14	0.5062816162
15	0.4980668945
16	0.4916590983
17	0.4840772298
18	0.4782525228
19	0.4730791016
20	0.467004069
21	0.4611068522
22	0.4565808512
23	0.4525485026
24	0.4473324788
25	0.442105306
26	0.4375991211
27	0.4331589355
28	0.4296782227
29	0.4254700521
30	0.4220013021
31	0.4193815918
32	0.4160928955
33	0.4137426758
34	0.4107199707
35	0.4070737305
36	0.4033965658
37	0.4005807699
38	0.3979472656
39	0.3958214111
40	0.3932453613
41	0.3909475098
42	0.3893412272
43	0.3870551351
44	0.3853997396
45	0.3837711995
46	0.3820367432
47	0.3800579427
48	0.3784691569
49	0.376785319
50	0.3751277669
51	0.3735609538
52	0.3721614583
53	0.3707971191
54	0.3690554199
55	0.3681859945
56	0.3669434001
57	0.3656900228
58	0.364689209
59	0.3636050618
60	0.3632368571
61	0.3623342285
62	0.3610288086
63	0.3600426025
64	0.35927889
65	0.3585900472
66	0.3573504639
67	0.3565157064
68	0.355710734
69	0.3546438395
70	0.3540091146
71	0.3531885173
72	0.3529672852
73	0.3522724609
74	0.3515717367
75	0.3510043538
76	0.3505047201
77	0.3497841797
78	0.3488317464
79	0.3482445475
80	0.3478087972
81	0.3470651855
82	0.3463482259
83	0.3458122559
84	0.3454556478
85	0.345003418
86	0.3443713379
87	0.3441862793
88	0.3435446777
89	0.343015625
90	0.3425725098
91	0.3419807943
92	0.3414133301
93	0.3407926839
94	0.3404192708
95	0.3400722249
96	0.3396162109
97	0.3389579468
98	0.3385087077
99	0.3379633586
100	0.3376072184
101	0.3372019246
102	0.3368657633
103	0.3365062866
104	0.3361189168
105	0.3358299764
106	0.3355039876
107	0.3354422201
108	0.334928833
109	0.334602417
110	0.3341556396
111	0.3338053792
112	0.333504659
113	0.3329824219
114	0.332681783
115	0.3324811198
116	0.3322571615
117	0.3320489095
118	0.3317047729
119	0.3313312988
120	0.3308529867
121	0.3305823568
122	0.330174235
123	0.3299585571
124	0.3296390991
125	0.3293550618
126	0.3289689941
127	0.3288398844
128	0.328603068
129	0.3283651326
130	0.3281831868
131	0.3279899699
132	0.327683492
133	0.3274108276
134	0.3273739624
135	0.3270979614
136	0.3269523519
137	0.3267509766
138	0.3264599202
139	0.3261838786
140	0.325978658
141	0.3257786255
142	0.3254475098
143	0.3252680664
144	0.3250714111
145	0.3249346517
146	0.3246653442
147	0.3245246582
148	0.3240919189
149	0.3237051392
150	0.3235050863
151	0.3233320719
152	0.3231707357
153	0.3229345296
154	0.322776652
155	0.3225841471
156	0.3222985433
157	0.32209375
158	0.3219493815
159	0.3217748413
160	0.3215720011
161	0.3213802083
162	0.3210536499
163	0.3208900146
164	0.3206891683
165	0.3204362793
166	0.3203037516
167	0.320055542
168	0.3199465535
169	0.3196690674
170	0.3193555094
171	0.3192151693
172	0.3190342204
173	0.3188563843
174	0.3186031291
175	0.318409139
176	0.3182524007
177	0.3180396729
178	0.3178286336
179	0.3176697998
180	0.317522583
181	0.317395874
182	0.3172476807
183	0.3169892985
184	0.3167237956
185	0.316512207
186	0.3164008382
187	0.3162306519
188	0.3160349731
189	0.3157906698
190	0.3156902059
191	0.3155774333
192	0.3154280192
193	0.3152791748
194	0.3150771891
195	0.3148521729
196	0.3146389567
197	0.3143696289
198	0.3141236165
199	0.3138419596
200	0.3136698405
201	0.3135359701
202	0.3134227702
203	0.3132358195
204	0.3131260783
205	0.3129932454
206	0.3128073527
207	0.3126420898
208	0.312550883
209	0.312335673
210	0.3121912638
211	0.3119347738
212	0.3117740682
213	0.3116493734
214	0.3115280558
215	0.3112666829
216	0.3110310669
217	0.3108413493
218	0.3107206217
219	0.3105623169
220	0.3104317627
221	0.3102054647
222	0.3100866089
223	0.3099535522
224	0.3097688395
225	0.3095662028
226	0.3094908447
227	0.3093112793
228	0.3090423584
229	0.3088661092
230	0.3086706543
231	0.3084827677
232	0.3083666178
233	0.3081233724
234	0.3080166829
235	0.3078534749
236	0.3077999878
237	0.3076409505
238	0.3074707438
239	0.3072778931
240	0.3071088053
241	0.3068930257
242	0.3067534587
243	0.3066413167
244	0.3065251465
245	0.3063344116
246	0.3062520345
247	0.3060435384
248	0.3058114217
249	0.3056821289
250	0.305553243
251	0.3054377441
252	0.3052608236
